pre,post,diff,joint_pre,joint_post,joint_diff
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9944444444444445,0.005555555555555536,1.0,0.9944444444444445,0.005555555555555536
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9411111111111111,0.05888888888888888,1.0,0.9388888888888889,0.061111111111111116
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.8344444444444444,0.16555555555555557,1.0,0.8322222222222222,0.1677777777777778
1.0,0.9577777777777778,0.04222222222222216,1.0,0.9688888888888889,0.03111111111111109
1.0,0.89,0.10999999999999999,1.0,0.8855555555555557,0.11444444444444435
1.0,0.9,0.09999999999999998,1.0,0.8988888888888888,0.10111111111111115
1.0,1.0,0.0,1.0,0.9955555555555555,0.004444444444444473
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9655555555555555,0.0344444444444445,1.0,0.9655555555555555,0.0344444444444445
1.0,0.9722222222222222,0.02777777777777779,1.0,0.981111111111111,0.018888888888888955
1.0,0.9822222222222222,0.01777777777777778,1.0,0.9822222222222222,0.01777777777777778
1.0,0.9377777777777778,0.06222222222222218,1.0,0.9377777777777778,0.06222222222222218
1.0,0.9866666666666667,0.013333333333333308,1.0,0.9866666666666667,0.013333333333333308
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9855555555555555,0.014444444444444482,1.0,0.9855555555555555,0.014444444444444482
1.0,0.8355555555555556,0.1644444444444444,1.0,0.8233333333333333,0.17666666666666675
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9977777777777778,0.0022222222222222365,1.0,1.0,0.0
