pre,post,diff,joint_pre,joint_post,joint_diff
1.0,0.856111111111111,0.14388888888888896,1.0,0.8522222222222222,0.14777777777777779
1.0,0.8583333333333334,0.1416666666666666,1.0,0.8511111111111112,0.14888888888888885
1.0,0.7705555555555555,0.22944444444444445,1.0,0.7683333333333333,0.2316666666666667
1.0,0.711111111111111,0.288888888888889,1.0,0.7094444444444445,0.29055555555555546
1.0,0.7083333333333333,0.29166666666666674,1.0,0.7005555555555556,0.2994444444444444
1.0,0.6311111111111112,0.3688888888888888,1.0,0.6305555555555555,0.36944444444444446
1.0,0.7961111111111111,0.2038888888888889,1.0,0.7938888888888889,0.20611111111111113
1.0,0.7855555555555556,0.21444444444444444,1.0,0.7849999999999999,0.21500000000000008
1.0,0.7161111111111111,0.28388888888888886,1.0,0.7316666666666667,0.2683333333333333
1.0,0.8566666666666667,0.1433333333333333,1.0,0.8577777777777778,0.14222222222222225
1.0,0.8561111111111113,0.14388888888888873,1.0,0.8583333333333334,0.1416666666666666
1.0,0.8672222222222221,0.13277777777777788,1.0,0.8638888888888889,0.13611111111111107
1.0,0.8044444444444445,0.19555555555555548,1.0,0.8033333333333333,0.19666666666666666
1.0,0.635,0.365,1.0,0.6394444444444445,0.3605555555555555
1.0,0.7144444444444444,0.28555555555555556,1.0,0.7205555555555555,0.2794444444444445
1.0,0.7055555555555556,0.2944444444444444,1.0,0.715,0.28500000000000003
1.0,0.7483333333333334,0.2516666666666666,1.0,0.7472222222222222,0.25277777777777777
1.0,0.8333333333333334,0.16666666666666663,1.0,0.8388888888888889,0.1611111111111111
1.0,0.8438888888888888,0.1561111111111112,1.0,0.8388888888888889,0.1611111111111111
1.0,0.7533333333333333,0.2466666666666667,1.0,0.7522222222222221,0.24777777777777787
1.0,0.7033333333333333,0.29666666666666675,1.0,0.7088888888888889,0.2911111111111111
