precision,recall,f1-score,support,status,source
1.0,1.0,1.0,269.0,off,1
1.0,1.0,1.0,192.5,off,2
1.0,1.0,1.0,204.66666666666666,off,3
1.0,1.0,1.0,218.5,off,4
