pre,post,diff,pre_joint,post_joint,diff_joint
37.56140368499562,12.145739168509833,39.11459824634731,41.37887461998448,12.424237179487454,42.80448242995022
37.79679467487286,11.210043210554051,39.14067292322753,41.690126163931055,11.210043210554051,42.91225010125976
38.42670004426401,12.121782229442507,39.8659845340642,41.86360269481952,12.207212281583173,43.176366479241594
37.31479772082731,15.381830020511567,40.19292298933601,41.4143096060456,15.529725704123077,44.00723327357747
37.34819689982482,16.986318038796266,39.81693566216791,40.682309909624564,17.095096486565073,42.95649010761615
36.542442665199346,12.770478527102402,38.51888214112655,39.60630281071072,12.838844257056541,41.44476289497875
36.91828248920765,15.101224908919699,39.77881777892367,40.14019036062261,15.251846589239117,42.841843456806316
36.66221799679829,15.908017752284909,39.690100213860426,40.420278628518794,16.131565636797912,43.2855587879353
36.9773202549776,11.544937476810244,38.002502694917794,41.287539117980344,11.800540415692742,42.22321662483338
36.488332379167595,17.68873076977001,39.237010050721054,40.02945738568725,17.688730769770014,42.54999431845234
36.318694761027906,13.129608950151885,38.34324128652325,40.2351901968114,13.208522362081688,42.10084387727545
35.99991801839396,14.344471223233,38.05906213008833,39.481211047683715,14.344471223233002,41.36742847558426
36.11845579844103,12.287195721161275,38.01814905579781,39.72866713064961,12.532222682851668,41.52141589301731
35.718115034812165,11.761883827477496,37.262420830062,39.42213063888211,11.819067776490098,40.85088058220985
37.85206242607728,13.344843637216641,39.49513757106872,41.62945390795407,13.344843637216641,43.12886150276245
36.17110180060925,12.967576354991754,38.448207526378205,39.73862705068702,13.078158755601331,41.835506521887886
35.49601798381069,12.468623451585604,37.25211199781615,39.3602907433823,12.547377641045845,40.94462941017432
35.82493445027761,12.267218435588463,37.40697640543327,39.3162292472666,12.387490793377031,40.79654375200684
36.90519947324852,13.972697041644484,38.783618370133176,40.53209972745977,13.972697041644484,42.24957294502056
38.017316308924684,15.895552809025915,40.88267791245114,41.42421945527715,16.015075932023006,44.049773805287025
36.58577818137127,7.616302599005395,37.27080294436314,40.74497001150234,8.05299663617841,41.409063092820425
37.25686108543376,9.38292569470784,38.16733076807756,40.82672109278892,9.747211528947977,41.663583346795434
37.45950384826751,13.42264573074536,39.454108099882276,41.6993759986381,13.841307511256705,43.52464727849255
37.22201426625548,15.66370649822428,39.24265538327421,40.74673952878357,15.996928273110186,42.60816087109738
36.304016747629774,10.067815006220997,37.43925321376674,39.404913095560254,10.485913817495515,40.4763598112207
36.39072539114226,13.139181919583631,38.44662715901806,39.80266180584925,13.49260061704,41.78263200780028
35.55031017469355,13.92818889711864,38.28917550300563,39.83220341336409,14.314337176185393,42.401923814072745
36.7078482005314,8.995038928589887,37.483200782019765,41.211792414679145,9.680939398037367,41.957468818882134
37.04444491151915,15.871882860823856,39.13807827633253,40.74937128325596,16.085998728409702,42.68066180532947
36.04445841708779,10.23836302327568,37.37836578492702,40.36119990738748,10.665139415158468,41.68952635772017
36.07224518726733,11.836803606811252,37.63288259770123,39.75424285527679,12.122401130506463,41.24534966315518
35.53823758701336,9.225386415075382,36.69512730064095,39.47740861129058,9.901104520840073,40.5827073504621
35.41529816812864,8.525115490657983,36.49919235464766,39.59468613440303,8.992704576818426,40.625535936009285
37.61735633100457,10.950390351884216,39.09911501224513,41.57528462450759,11.25849627620507,42.988286142806196
35.95319929006822,10.026959259260558,37.37551856487361,39.662447582134746,10.500609574864026,41.05990519878445
34.98753943251959,9.476634928261724,36.03819932812655,39.234637450382195,9.930730788608724,40.23705999248613
36.57262382049912,9.210337343402491,37.58773573679394,39.84895268986858,9.728220984924128,40.808523987442825
35.674498795440876,11.762075062827622,37.484710285450845,39.57633035643934,12.049443942617264,41.28695595657798
37.46764806087279,13.881648990329346,39.87041852962983,41.068856793866686,14.260327003169568,43.36818777108552
36.65408025227714,7.745898958966255,37.3495439564909,40.188606427674145,7.878919846788732,40.82367675003629
36.60602260941115,11.948829992571744,38.21659385970635,40.774682223794876,12.138625286941362,42.23732800546985
36.61212962742692,14.342095177661498,37.98568278537248,40.174041236379864,14.470764231889591,41.41619281191991
35.82554553803085,8.620077987714527,36.5352564321282,38.81911719217445,8.721040337026928,39.472948214622264
36.326725962677855,11.895477335666465,37.91331912478468,39.78983070598279,12.086116484432148,41.301492493076346
35.22542848815232,12.760907103648039,37.025102177160164,39.19508101556226,13.038524885708593,40.99012694192503
36.09367046034694,7.195670517053593,36.45252716516549,40.58333828978545,7.599003023353422,40.90509144088479
36.08788507959668,14.854551354555356,37.702657383908466,39.98660622313934,14.854551354555356,41.449772032360045
35.444926979554594,8.694629178072093,36.31211979713349,39.596665077992846,8.813342632048645,40.39092242359528
35.71595839634478,10.441057141760533,36.575196235427576,39.3803652205349,10.441057141760531,40.16128061196902
35.311138245962304,7.626024938873127,35.902565301512496,39.14233483548181,8.014841423931777,39.730897937070935
35.224861199748524,6.444827641506935,35.779542403584976,39.08333177472237,6.548607123879225,39.611726913851186
36.823945231510855,9.126246340115964,37.62845122362637,40.77965964858403,9.126246340115964,41.50756605885089
34.869285565908726,8.465361952451195,35.66494652680065,38.50748695597718,8.633802922245726,39.25470710516421
34.504762496939406,7.548547819714222,35.06195665107149,38.62624131574067,7.6779352091626185,39.13561754808803
35.92771378831979,7.035724970914258,36.36426606955035,39.42928891740173,7.24339049588697,39.853449230887406
35.80075691248716,10.190658060436624,37.1342275600279,39.51643997121424,10.190658060436624,40.72843833209809
37.370130948453024,12.867293763974086,39.341160344046656,40.77139366517708,13.014657383593983,42.594537896887964
