pre,post,diff,joint_pre,joint_post,joint_diff
1.0,0.6627777777777778,0.3372222222222222,1.0,0.6661111111111111,0.3338888888888889
0.9544444444444444,0.6788888888888889,0.27555555555555555,0.9883333333333333,0.6772222222222223,0.311111111111111
0.9772222222222222,0.5511111111111111,0.4261111111111111,0.9966666666666667,0.5466666666666666,0.45000000000000007
0.9988888888888889,0.8116666666666666,0.1872222222222223,1.0,0.8166666666666667,0.18333333333333335
1.0,0.8161111111111111,0.18388888888888888,1.0,0.815,0.18500000000000005
1.0,0.6872222222222223,0.3127777777777777,0.9994444444444445,0.6844444444444444,0.31500000000000006
1.0,0.7988888888888889,0.20111111111111113,1.0,0.8127777777777778,0.18722222222222218
0.9516666666666667,0.6627777777777778,0.28888888888888886,0.9566666666666667,0.6788888888888889,0.2777777777777778
1.0,0.615,0.385,1.0,0.6155555555555555,0.3844444444444445
0.9505555555555555,0.6144444444444445,0.336111111111111,0.9644444444444444,0.615,0.34944444444444445
0.96,0.5766666666666667,0.3833333333333333,0.9638888888888889,0.5750000000000001,0.38888888888888884
0.9755555555555555,0.5627777777777778,0.4127777777777777,0.9844444444444445,0.56,0.4244444444444444
1.0,0.7061111111111111,0.29388888888888887,1.0,0.7100000000000001,0.2899999999999999
0.9916666666666667,0.5311111111111111,0.4605555555555556,0.9988888888888889,0.4961111111111111,0.5027777777777778
1.0,0.7961111111111111,0.2038888888888889,1.0,0.7961111111111112,0.2038888888888888
0.9988888888888889,0.7894444444444445,0.20944444444444443,0.9983333333333333,0.7772222222222221,0.22111111111111115
0.9788888888888889,0.5755555555555556,0.4033333333333333,0.9905555555555555,0.5705555555555556,0.41999999999999993
0.9961111111111112,0.705,0.2911111111111112,1.0,0.7272222222222222,0.2727777777777778
1.0,0.7477777777777779,0.2522222222222221,1.0,0.7755555555555556,0.22444444444444445
0.9988888888888889,0.5961111111111111,0.4027777777777778,0.9988888888888889,0.5944444444444444,0.4044444444444445
0.9994444444444445,0.855,0.1444444444444445,1.0,0.865,0.135
