job_0_ablation_0.00_povs_post,job_2_ablation_0.06_povs_post,job_6_ablation_0.19_povs_post,job_14_ablation_0.43_povs_post,job_16_ablation_0.50_povs_post,job_19_ablation_0.59_povs_post,job_12_ablation_0.37_povs_post,job_13_ablation_0.40_povs_post,job_29_ablation_0.90_povs_post,job_22_ablation_0.68_povs_post,job_1_ablation_0.03_povs_post,job_24_ablation_0.74_povs_post,job_17_ablation_0.53_povs_post,job_8_ablation_0.25_povs_post,job_3_ablation_0.09_povs_post,job_20_ablation_0.62_povs_post,job_25_ablation_0.78_povs_post,job_27_ablation_0.84_povs_post,job_18_ablation_0.56_povs_post,job_7_ablation_0.22_povs_post,job_10_ablation_0.31_povs_post,job_15_ablation_0.47_povs_post,job_28_ablation_0.87_povs_post,job_26_ablation_0.81_povs_post,job_11_ablation_0.34_povs_post,job_21_ablation_0.65_povs_post,job_9_ablation_0.28_povs_post,job_23_ablation_0.71_povs_post,job_5_ablation_0.16_povs_post,job_4_ablation_0.12_povs_post
0.233,0.177,0.152,0.164,0.187,0.166,0.166,0.221,0.0,0.032,0.176,0.087,0.106,0.206,0.318,0.097,0.0,0.0,0.151,0.221,0.176,0.186,0.0,0.0,0.222,0.101,0.179,0.038,0.201,0.155
0.231,0.173,0.145,0.156,0.163,0.154,0.159,0.22,0.0,0.027,0.167,0.0,0.095,0.191,0.285,0.095,0.0,0.0,0.143,0.212,0.162,0.182,0.0,0.0,0.215,0.073,0.158,0.035,0.195,0.144
0.222,0.154,0.14,0.135,0.144,0.149,0.145,0.21,0.0,0.017,0.159,0.0,0.086,0.181,0.276,0.085,0.0,0.0,0.134,0.203,0.143,0.16,0.0,0.0,0.21,0.063,0.149,0.0,0.181,0.136
0.2,0.14,0.125,0.133,0.142,0.131,0.128,0.2,0.0,0.0,0.153,0.0,0.08,0.165,0.265,0.072,0.0,0.0,0.127,0.191,0.139,0.145,0.0,0.0,0.191,0.02,0.143,0.0,0.162,0.128
0.187,0.133,0.12,0.12,0.13,0.11,0.118,0.172,0.0,0.0,0.14,0.0,0.065,0.163,0.248,0.068,0.0,0.0,0.119,0.183,0.123,0.133,0.0,0.0,0.172,0.0,0.132,0.0,0.156,0.122
0.179,0.131,0.117,0.108,0.119,0.1,0.106,0.167,0.0,0.0,0.134,0.0,0.057,0.159,0.237,0.044,0.0,0.0,0.112,0.179,0.121,0.12,0.0,0.0,0.163,0.0,0.119,0.0,0.153,0.118
0.169,0.127,0.111,0.106,0.106,0.084,0.099,0.148,0.0,0.0,0.123,0.0,0.052,0.146,0.222,0.039,0.0,0.0,0.096,0.163,0.11,0.11,0.0,0.0,0.149,0.0,0.116,0.0,0.138,0.111
0.158,0.122,0.106,0.088,0.096,0.079,0.098,0.145,0.0,0.0,0.118,0.0,0.043,0.129,0.205,0.032,0.0,0.0,0.089,0.15,0.099,0.102,0.0,0.0,0.133,0.0,0.11,0.0,0.13,0.101
0.154,0.11,0.1,0.082,0.09,0.079,0.085,0.127,0.0,0.0,0.11,0.0,0.037,0.125,0.2,0.023,0.0,0.0,0.07,0.146,0.093,0.086,0.0,0.0,0.118,0.0,0.105,0.0,0.129,0.099
0.153,0.105,0.085,0.074,0.078,0.071,0.083,0.118,0.0,0.0,0.107,0.0,0.032,0.118,0.188,0.01,0.0,0.0,0.065,0.143,0.088,0.078,0.0,0.0,0.108,0.0,0.092,0.0,0.12,0.088
0.141,0.104,0.076,0.069,0.066,0.056,0.073,0.116,0.0,0.0,0.103,0.0,0.028,0.113,0.183,0.009,0.0,0.0,0.05,0.135,0.082,0.074,0.0,0.0,0.102,0.0,0.086,0.0,0.116,0.086
0.131,0.093,0.071,0.062,0.066,0.049,0.071,0.101,0.0,0.0,0.094,0.0,0.0,0.1,0.173,0.0,0.0,0.0,0.044,0.12,0.069,0.068,0.0,0.0,0.099,0.0,0.076,0.0,0.104,0.08
0.122,0.088,0.065,0.057,0.061,0.046,0.067,0.09,0.0,0.0,0.092,0.0,0.0,0.096,0.161,0.0,0.0,0.0,0.04,0.109,0.067,0.06,0.0,0.0,0.09,0.0,0.074,0.0,0.103,0.074
0.117,0.084,0.065,0.052,0.05,0.041,0.063,0.085,0.0,0.0,0.088,0.0,0.0,0.089,0.15,0.0,0.0,0.0,0.039,0.106,0.056,0.056,0.0,0.0,0.078,0.0,0.069,0.0,0.097,0.071
0.108,0.083,0.061,0.046,0.044,0.037,0.059,0.074,0.0,0.0,0.083,0.0,0.0,0.084,0.142,0.0,0.0,0.0,0.034,0.1,0.053,0.049,0.0,0.0,0.066,0.0,0.065,0.0,0.094,0.062
0.105,0.08,0.058,0.038,0.036,0.033,0.054,0.068,0.0,0.0,0.077,0.0,0.0,0.079,0.135,0.0,0.0,0.0,0.014,0.091,0.048,0.045,0.0,0.0,0.063,0.0,0.058,0.0,0.084,0.06
0.104,0.078,0.052,0.037,0.031,0.028,0.051,0.061,0.0,0.0,0.076,0.0,0.0,0.071,0.124,0.0,0.0,0.0,0.0,0.09,0.044,0.033,0.0,0.0,0.06,0.0,0.055,0.0,0.081,0.056
0.101,0.071,0.049,0.034,0.026,0.023,0.046,0.054,0.0,0.0,0.07,0.0,0.0,0.069,0.122,0.0,0.0,0.0,0.0,0.084,0.038,0.026,0.0,0.0,0.057,0.0,0.052,0.0,0.08,0.052
0.095,0.069,0.044,0.027,0.024,0.015,0.043,0.044,0.0,0.0,0.066,0.0,0.0,0.062,0.117,0.0,0.0,0.0,0.0,0.076,0.036,0.022,0.0,0.0,0.046,0.0,0.048,0.0,0.073,0.048
