precision,recall,f1-score,support,status,source
1.0,1.0,1.0,84.0,on,1
1.0,1.0,1.0,72.0,on,2
1.0,1.0,1.0,83.66666666666667,on,3
1.0,1.0,1.0,62.25,on,4
1.0,0.9733333333333334,0.9857142857142858,55.2,on,5
1.0,1.0,1.0,63.166666666666664,on,6
1.0,1.0,1.0,81.14285714285714,on,7
1.0,1.0,1.0,74.375,on,8
