pre,post,diff
1.0,0.5277777777777778,0.4722222222222222
1.0,0.6511111111111112,0.3488888888888888
1.0,0.6366666666666667,0.3633333333333333
0.9988888888888889,0.5494444444444444,0.44944444444444454
1.0,0.6677777777777778,0.3322222222222222
0.9544444444444444,0.7283333333333334,0.22611111111111104
0.9594444444444444,0.7255555555555556,0.2338888888888888
0.9627777777777777,0.7383333333333333,0.22444444444444445
1.0,0.5888888888888889,0.4111111111111111
0.9744444444444444,0.5755555555555556,0.39888888888888885
0.9372222222222222,0.5744444444444444,0.36277777777777775
0.9216666666666666,0.6033333333333333,0.31833333333333336
0.9177777777777778,0.5916666666666667,0.32611111111111113
0.9888888888888889,0.7838888888888889,0.20500000000000007
0.9572222222222222,0.688888888888889,0.2683333333333332
0.9922222222222222,0.7416666666666667,0.25055555555555553
0.9972222222222222,0.5438888888888889,0.45333333333333337
1.0,0.7633333333333334,0.23666666666666658
0.9994444444444445,0.7533333333333333,0.24611111111111117
0.9533333333333333,0.7294444444444445,0.2238888888888888
1.0,0.5822222222222222,0.4177777777777778
