pre,post,diff
1.0,0.8655555555555555,0.13444444444444448
1.0,0.95,0.050000000000000044
1.0,0.8422222222222222,0.1577777777777778
1.0,0.9244444444444445,0.07555555555555549
1.0,0.9161111111111111,0.0838888888888889
1.0,0.8655555555555555,0.13444444444444448
1.0,0.955,0.04500000000000004
1.0,0.8116666666666666,0.18833333333333335
1.0,0.8038888888888889,0.19611111111111112
1.0,0.9894444444444445,0.01055555555555554
1.0,0.9344444444444444,0.06555555555555559
1.0,0.9822222222222222,0.01777777777777778
1.0,0.8877777777777778,0.11222222222222222
1.0,0.9277777777777778,0.07222222222222219
1.0,0.8622222222222222,0.13777777777777778
1.0,0.9188888888888889,0.08111111111111113
1.0,0.9561111111111111,0.043888888888888866
1.0,0.8927777777777778,0.10722222222222222
1.0,0.9761111111111112,0.02388888888888885
1.0,0.8894444444444444,0.11055555555555563
1.0,0.8677777777777778,0.13222222222222224
