pre,post,diff
1.0,0.7644444444444444,0.23555555555555563
1.0,0.8638888888888889,0.13611111111111107
1.0,0.8105555555555556,0.18944444444444442
1.0,0.78,0.21999999999999997
1.0,0.725,0.275
1.0,0.8866666666666667,0.11333333333333329
1.0,0.7183333333333333,0.28166666666666673
1.0,0.9461111111111111,0.053888888888888875
1.0,0.9072222222222223,0.09277777777777774
1.0,0.8272222222222223,0.1727777777777777
1.0,0.8788888888888888,0.12111111111111117
1.0,0.7749999999999999,0.2250000000000001
1.0,0.8794444444444445,0.12055555555555553
1.0,0.8038888888888889,0.19611111111111112
1.0,0.9772222222222222,0.022777777777777786
1.0,0.8066666666666666,0.19333333333333336
1.0,0.7622222222222222,0.23777777777777775
1.0,0.6922222222222222,0.3077777777777778
1.0,0.8244444444444444,0.17555555555555558
1.0,0.8744444444444445,0.12555555555555553
1.0,0.7111111111111111,0.28888888888888886
