pre,post,diff
1.0,0.8988888888888888,0.10111111111111115
1.0,0.925,0.07499999999999996
1.0,0.8466666666666667,0.15333333333333332
1.0,0.806111111111111,0.193888888888889
1.0,0.8827777777777778,0.11722222222222223
1.0,0.8066666666666666,0.19333333333333336
1.0,0.8266666666666667,0.17333333333333334
1.0,0.9722222222222222,0.02777777777777779
1.0,0.935,0.06499999999999995
1.0,0.7755555555555557,0.22444444444444434
1.0,0.8600000000000001,0.1399999999999999
1.0,0.9066666666666666,0.09333333333333338
1.0,0.7877777777777778,0.2122222222222222
1.0,0.7855555555555556,0.21444444444444444
1.0,0.8705555555555555,0.12944444444444447
1.0,0.8694444444444445,0.13055555555555554
1.0,0.8305555555555556,0.1694444444444444
1.0,0.8433333333333333,0.15666666666666673
1.0,0.8577777777777779,0.14222222222222214
1.0,0.9244444444444444,0.0755555555555556
1.0,0.9616666666666667,0.03833333333333333
