precision,recall,f1-score,support,status,source
1.0,1.0,1.0,253.0,off,1
1.0,1.0,1.0,194.5,off,2
1.0,1.0,1.0,226.0,off,3
0.98,0.9783393501805054,0.9791666666666666,230.25,off,4
