source,precision,precision,recall,recall,f1-score,f1-score,support,support,source,source
,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.2818253968253968,0.28958703458146673,0.5,0.5091750772173156,0.35971283565134043,0.3676939229739659,223.10714285714286,37.025856116557534,1.0,0.0
2,0.3113095238095238,0.22202708584078829,0.5535714285714286,0.39297737457927134,0.3975951206567071,0.2825479221791275,223.69642857142858,35.877708772613765,2.0,0.0
3,0.3102380952380952,0.18760710404146025,0.5357142857142857,0.31868151360482566,0.39180819140019774,0.23468717210170947,229.29761904761904,31.38036125206984,3.0,0.0
4,0.26365079365079364,0.11675495665420309,0.4642857142857143,0.20085794817212324,0.33570197581013034,0.14683518936860512,223.91964285714286,15.543703853887417,4.0,0.0
