source,precision,precision,recall,recall,f1-score,f1-score,support,support,source,source
,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.286031746031746,0.29213989492189774,0.5,0.5091750772173156,0.36364649270910004,0.37075552415356394,226.89285714285714,37.025856116557534,1.0,0.0
2,0.2606349206349206,0.24196222474795,0.44642857142857145,0.39297737457927134,0.32816294383232064,0.2983488186395751,226.30357142857142,35.877708772613765,2.0,0.0
3,0.26497354497354497,0.1868762140776999,0.4642857142857143,0.31868151360482566,0.3364552713021985,0.23429046725938962,220.70238095238093,31.38036125206983,3.0,0.0
4,0.301765873015873,0.11209972265031182,0.5357142857142857,0.20085794817212324,0.3851300453619257,0.1431117955525044,226.08035714285714,15.543703853887417,4.0,0.0
