pre,post,diff
1.0,0.8377777777777777,0.16222222222222227
1.0,0.9022222222222223,0.09777777777777774
1.0,0.856111111111111,0.14388888888888896
1.0,0.893888888888889,0.10611111111111104
1.0,0.8616666666666667,0.1383333333333333
1.0,0.7955555555555555,0.20444444444444454
1.0,0.9705555555555555,0.029444444444444495
1.0,0.9450000000000001,0.05499999999999994
1.0,0.9216666666666666,0.07833333333333337
1.0,1.0,0.0
1.0,0.9688888888888889,0.03111111111111109
1.0,0.9944444444444445,0.005555555555555536
1.0,0.9405555555555556,0.05944444444444441
1.0,1.0,0.0
1.0,0.8611111111111112,0.13888888888888884
1.0,0.9794444444444446,0.020555555555555438
1.0,0.9683333333333333,0.03166666666666673
1.0,0.9538888888888888,0.046111111111111214
1.0,0.7994444444444444,0.2005555555555556
1.0,0.981111111111111,0.018888888888888955
1.0,0.9588888888888889,0.0411111111111111
