pre,post,diff
1.0,0.8472222222222223,0.15277777777777768
1.0,0.7772222222222223,0.22277777777777774
1.0,0.8172222222222222,0.18277777777777782
1.0,0.7444444444444445,0.25555555555555554
1.0,0.8033333333333332,0.19666666666666677
1.0,0.8566666666666667,0.1433333333333333
1.0,0.778888888888889,0.22111111111111104
1.0,0.83,0.17000000000000004
1.0,0.8211111111111111,0.17888888888888888
1.0,0.8216666666666667,0.17833333333333334
1.0,0.7972222222222222,0.20277777777777783
1.0,0.845,0.15500000000000003
1.0,0.7033333333333334,0.29666666666666663
1.0,0.6938888888888889,0.3061111111111111
1.0,0.6705555555555556,0.32944444444444443
1.0,0.731111111111111,0.26888888888888896
1.0,0.7216666666666667,0.2783333333333333
1.0,0.6944444444444444,0.3055555555555556
1.0,0.7872222222222223,0.21277777777777773
1.0,0.6844444444444444,0.3155555555555556
1.0,0.6383333333333333,0.3616666666666667
