pre,post,diff
1.0,0.925,0.07499999999999996
1.0,0.9233333333333333,0.07666666666666666
1.0,0.9438888888888889,0.05611111111111111
1.0,0.8533333333333333,0.14666666666666672
1.0,0.9372222222222222,0.06277777777777782
1.0,0.8022222222222224,0.1977777777777776
1.0,0.9166666666666666,0.08333333333333337
1.0,0.856111111111111,0.14388888888888896
1.0,0.86,0.14
1.0,0.9044444444444445,0.0955555555555555
1.0,0.9,0.09999999999999998
1.0,0.8366666666666667,0.16333333333333333
1.0,0.7644444444444445,0.23555555555555552
1.0,0.9727777777777777,0.02722222222222226
1.0,0.84,0.16000000000000003
1.0,0.9611111111111111,0.03888888888888886
1.0,0.9433333333333334,0.05666666666666664
1.0,0.9438888888888888,0.05611111111111122
1.0,0.9177777777777778,0.0822222222222222
1.0,0.8994444444444445,0.10055555555555551
1.0,0.7005555555555556,0.2994444444444444
