pre,post,diff
1.0,0.9772222222222222,0.022777777777777786
1.0,0.895,0.10499999999999998
1.0,0.9288888888888889,0.07111111111111112
1.0,0.9672222222222222,0.032777777777777795
1.0,0.9483333333333334,0.05166666666666664
1.0,0.895,0.10499999999999998
1.0,0.9094444444444445,0.0905555555555555
1.0,0.94,0.06000000000000005
1.0,0.9994444444444445,0.0005555555555555314
1.0,0.9088888888888889,0.09111111111111114
1.0,0.9422222222222222,0.05777777777777782
1.0,0.9838888888888889,0.016111111111111076
1.0,0.9988888888888889,0.0011111111111110628
1.0,0.8761111111111112,0.12388888888888883
1.0,0.83,0.17000000000000004
1.0,0.8777777777777778,0.12222222222222223
1.0,0.8455555555555556,0.15444444444444438
1.0,0.8238888888888889,0.1761111111111111
1.0,0.991111111111111,0.008888888888888946
1.0,0.9516666666666667,0.04833333333333334
1.0,0.9555555555555555,0.04444444444444451
