source,precision,precision,recall,recall,f1-score,f1-score,support,support,source,source
,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.306,0.297685574873578,0.525,0.505736325340815,0.3858022593754044,0.37309581886538584,230.45,42.754486944017394,1.0,0.0
2,0.2534444444444444,0.17162497303914404,0.4375,0.30355796134747626,0.32018189776929806,0.21786765319511808,222.5875,28.25068356332059,2.0,0.0
3,0.27494444444444444,0.15066624342433466,0.475,0.2709853288151379,0.3474580427154304,0.19303084308523544,224.7833333333333,21.166353722701743,3.0,0.0
4,0.28491666666666665,0.15979755067473997,0.49375,0.27437282795121815,0.3604649497706842,0.2007578916545546,225.38125,22.591976359613458,4.0,0.0
