pre,post,diff,joint_pre,joint_post,joint_diff
1.0,0.7444444444444444,0.25555555555555565,1.0,0.7494444444444445,0.25055555555555553
1.0,0.8122222222222222,0.18777777777777782,1.0,0.7983333333333332,0.20166666666666677
1.0,0.9983333333333333,0.0016666666666667052,1.0,0.9983333333333333,0.0016666666666667052
1.0,0.9600000000000001,0.039999999999999925,1.0,0.9600000000000001,0.039999999999999925
1.0,0.9055555555555557,0.09444444444444433,1.0,0.9005555555555556,0.09944444444444445
1.0,0.8894444444444445,0.11055555555555552,1.0,0.8894444444444445,0.11055555555555552
1.0,0.9088888888888889,0.09111111111111114,1.0,0.9238888888888888,0.07611111111111124
1.0,0.915,0.08499999999999996,1.0,0.9111111111111111,0.0888888888888889
0.9894444444444445,0.8722222222222222,0.11722222222222223,0.9866666666666667,0.8694444444444445,0.11722222222222223
1.0,0.8827777777777778,0.11722222222222223,1.0,0.8827777777777778,0.11722222222222223
1.0,0.7855555555555556,0.21444444444444444,1.0,0.788888888888889,0.21111111111111103
1.0,0.8611111111111112,0.13888888888888884,1.0,0.8611111111111109,0.13888888888888906
1.0,0.7627777777777778,0.23722222222222222,1.0,0.765,0.235
1.0,0.9233333333333332,0.07666666666666677,1.0,0.9277777777777777,0.0722222222222223
1.0,0.9272222222222222,0.07277777777777783,1.0,0.9283333333333333,0.07166666666666666
1.0,0.9172222222222222,0.08277777777777784,1.0,0.9172222222222222,0.08277777777777784
1.0,0.7627777777777779,0.2372222222222221,1.0,0.7605555555555557,0.23944444444444435
1.0,0.9633333333333334,0.036666666666666625,1.0,0.9644444444444444,0.03555555555555556
1.0,0.8988888888888888,0.10111111111111115,1.0,0.9183333333333333,0.08166666666666667
1.0,0.9627777777777777,0.03722222222222227,1.0,0.961111111111111,0.03888888888888897
1.0,0.8366666666666667,0.16333333333333333,1.0,0.8383333333333333,0.16166666666666674
