pre,post,diff,joint_pre,joint_post,joint_diff
1.0,0.9805555555555556,0.019444444444444375,1.0,0.9805555555555556,0.019444444444444375
1.0,0.8983333333333333,0.10166666666666668,1.0,0.8983333333333333,0.10166666666666668
1.0,0.9861111111111112,0.01388888888888884,1.0,0.9861111111111112,0.01388888888888884
1.0,0.9594444444444444,0.04055555555555557,1.0,0.9594444444444444,0.04055555555555557
1.0,0.8122222222222222,0.18777777777777782,1.0,0.8122222222222222,0.18777777777777782
1.0,0.9677777777777777,0.03222222222222226,1.0,0.9677777777777777,0.03222222222222226
1.0,0.9338888888888889,0.06611111111111112,1.0,0.9338888888888888,0.06611111111111123
1.0,0.9905555555555555,0.009444444444444478,1.0,0.9905555555555555,0.009444444444444478
1.0,0.7722222222222223,0.22777777777777775,1.0,0.773888888888889,0.22611111111111104
1.0,0.9583333333333334,0.04166666666666663,1.0,0.9583333333333334,0.04166666666666663
1.0,0.82,0.18000000000000005,1.0,0.82,0.18000000000000005
1.0,0.8438888888888889,0.1561111111111111,1.0,0.845,0.15500000000000003
1.0,0.9961111111111112,0.0038888888888888307,1.0,0.9972222222222222,0.002777777777777768
1.0,0.9477777777777778,0.05222222222222217,1.0,0.9438888888888889,0.05611111111111111
1.0,0.8605555555555555,0.13944444444444448,1.0,0.8605555555555555,0.13944444444444448
1.0,0.9338888888888889,0.06611111111111112,1.0,0.9388888888888889,0.061111111111111116
1.0,0.9861111111111112,0.01388888888888884,1.0,0.9861111111111112,0.01388888888888884
1.0,0.7911111111111111,0.2088888888888889,1.0,0.7899999999999999,0.21000000000000008
1.0,0.8955555555555557,0.10444444444444434,1.0,0.8955555555555557,0.10444444444444434
1.0,0.8744444444444444,0.12555555555555564,1.0,0.875,0.125
1.0,0.9938888888888889,0.006111111111111067,1.0,0.9905555555555556,0.009444444444444366
