pre,post,diff,joint_pre,joint_post,joint_diff
1.0,0.888888888888889,0.11111111111111105,1.0,0.8861111111111111,0.11388888888888893
1.0,0.7133333333333333,0.28666666666666674,1.0,0.7122222222222223,0.2877777777777777
1.0,0.8638888888888889,0.13611111111111107,1.0,0.8833333333333333,0.1166666666666667
1.0,0.7922222222222222,0.20777777777777784,1.0,0.7833333333333333,0.21666666666666667
0.9916666666666667,0.7905555555555556,0.20111111111111113,0.991111111111111,0.7855555555555555,0.2055555555555556
1.0,0.6427777777777778,0.3572222222222222,1.0,0.6422222222222222,0.35777777777777775
1.0,0.705,0.29500000000000004,1.0,0.7133333333333334,0.2866666666666666
1.0,0.7983333333333333,0.20166666666666666,1.0,0.7883333333333333,0.21166666666666667
1.0,0.7038888888888889,0.2961111111111111,1.0,0.7066666666666667,0.29333333333333333
0.9922222222222222,0.9077777777777778,0.08444444444444443,0.99,0.9094444444444445,0.08055555555555549
1.0,0.8461111111111111,0.15388888888888885,1.0,0.8372222222222222,0.1627777777777778
1.0,0.7183333333333334,0.2816666666666666,1.0,0.7161111111111111,0.28388888888888886
1.0,0.6177777777777778,0.38222222222222224,1.0,0.6138888888888889,0.38611111111111107
1.0,0.7122222222222222,0.2877777777777778,1.0,0.6994444444444444,0.3005555555555556
1.0,0.9055555555555556,0.09444444444444444,1.0,0.9066666666666666,0.09333333333333338
1.0,0.7516666666666667,0.2483333333333333,1.0,0.731111111111111,0.26888888888888896
1.0,0.8438888888888889,0.1561111111111111,1.0,0.8605555555555555,0.13944444444444448
1.0,0.935,0.06499999999999995,1.0,0.9544444444444444,0.04555555555555557
0.9927777777777778,0.8088888888888889,0.18388888888888888,0.9922222222222222,0.8144444444444444,0.1777777777777778
0.98,0.8183333333333334,0.16166666666666663,0.9805555555555556,0.8161111111111111,0.1644444444444445
1.0,0.9277777777777778,0.07222222222222219,1.0,0.9277777777777778,0.07222222222222219
