pre,post,diff,joint_pre,joint_post,joint_diff
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.981111111111111,0.018888888888888955,1.0,0.981111111111111,0.018888888888888955
1.0,0.9922222222222222,0.007777777777777772,1.0,0.9922222222222222,0.007777777777777772
1.0,0.89,0.10999999999999999,1.0,0.89,0.10999999999999999
1.0,0.9922222222222222,0.007777777777777772,1.0,0.9933333333333334,0.006666666666666599
1.0,0.95,0.050000000000000044,1.0,0.9522222222222222,0.04777777777777781
1.0,0.9833333333333334,0.016666666666666607,1.0,0.9644444444444444,0.03555555555555556
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9522222222222223,0.0477777777777777,1.0,0.95,0.050000000000000044
1.0,1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9622222222222222,0.0377777777777778,1.0,0.9588888888888889,0.0411111111111111
1.0,0.8844444444444445,0.11555555555555552,1.0,0.88,0.12
1.0,0.9866666666666667,0.013333333333333308,1.0,0.981111111111111,0.018888888888888955
1.0,0.8933333333333333,0.10666666666666669,1.0,0.9066666666666667,0.09333333333333327
1.0,0.9988888888888889,0.0011111111111110628,1.0,0.9966666666666666,0.0033333333333334103
1.0,0.85,0.15000000000000002,1.0,0.8744444444444445,0.12555555555555553
1.0,0.9955555555555555,0.004444444444444473,1.0,0.9955555555555555,0.004444444444444473
1.0,0.9144444444444444,0.0855555555555556,1.0,0.9133333333333333,0.08666666666666667
1.0,1.0,0.0,1.0,1.0,0.0
1.0,0.9266666666666667,0.07333333333333325,1.0,0.9266666666666667,0.07333333333333325
